"GEO_ID","county","tract","Description","Female_American Indian and Alaska Native","Female_Asian","Female_Black or African American","Female_Native Hawaiian and Other Pacific Islander","Female_Other","Female_Two or More","Female_White","Male_American Indian and Alaska Native","Male_Asian","Male_Black or African American","Male_Native Hawaiian and Other Pacific Islander","Male_Other","Male_Two or More","Male_White","sum_row"
"26001970600","Alcona","970600","55 to 64 years ",0,0,0,0,0,0,138,0,0,0,0,0,0,169,307
"26001970600","Alcona","970600","65 to 74 years ",0,0,0,0,0,0,152,0,0,0,0,0,0,175,327
"26001970600","Alcona","970600","75 to 84 years ",0,0,0,0,0,0,80,0,0,0,0,0,0,78,158
"26001970600","Alcona","970600","85 years and over ",0,0,0,0,0,0,26,0,0,0,0,0,0,9,35
"26001970600","Alcona","970600","Under 5 years ",0,0,0,0,0,3,5,0,0,0,0,0,0,5,13
"26001990000","Alcona","990000","10 to 14 years ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26001990000","Alcona","990000","15 to 17 years ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26001990000","Alcona","990000","18 and 19 years ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26001990000","Alcona","990000","20 to 24 years ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26001990000","Alcona","990000","25 to 29 years ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26001990000","Alcona","990000","30 to 34 years ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26001990000","Alcona","990000","35 to 44 years ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26001990000","Alcona","990000","45 to 54 years ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26001990000","Alcona","990000","5 to 9 years ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26001990000","Alcona","990000","55 to 64 years ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26001990000","Alcona","990000","65 to 74 years ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26001990000","Alcona","990000","75 to 84 years ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26001990000","Alcona","990000","85 years and over ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26001990000","Alcona","990000","Under 5 years ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26003000100","Alger","000100","10 to 14 years ",0,0,0,0,0,22,35,5,0,0,0,0,15,78,155
"26003000100","Alger","000100","15 to 17 years ",0,0,0,0,0,0,28,5,0,0,0,0,0,38,71
"26003000100","Alger","000100","18 and 19 years ",23,0,0,0,0,6,22,0,0,0,0,0,0,37,88
"26003000100","Alger","000100","20 to 24 years ",0,0,0,0,0,0,89,0,0,0,0,0,0,60,149
"26003000100","Alger","000100","25 to 29 years ",0,0,0,0,0,1,23,6,0,0,0,0,0,99,129
"26003000100","Alger","000100","30 to 34 years ",0,0,0,0,0,4,47,0,0,0,0,0,0,71,122
"26003000100","Alger","000100","35 to 44 years ",5,0,0,0,0,6,138,1,0,0,0,0,0,194,344
